Name,URL,Excerpt,Type,Name,Mini-Brief?,Notes
How A.I. Steered Doctors Toward a Possible Coronavirus Treatment,https://www.nytimes.com/2020/04/30/technology/coronavirus-treatment-benevolentai-baricitinib.html,"Specialists at the London start-up BenevolentAI helped identify the arthritis drug baricitinib, which is now part of a clinical trial. In late January, researchers at BenevolentAI, an artificial intelligence start-up in central London, turned their attention to the coronavirus.",,,,
Yann LeCun and Yoshua Bengio: Self-supervised learning is the key to human-level intelligence,https://venturebeat.com/2020/05/02/yann-lecun-and-yoshua-bengio-self-supervised-learning-is-the-key-to-human-level-intelligence/,"Self-supervised learning could lead to the creation of AI that’s more human-like in its reasoning, according to Turing Award winners Yoshua Bengio and Yann LeCun.",,,,
Deepfake Music Is So Good It Might Be Illegal,https://onezero.medium.com/deepfake-music-is-so-good-it-might-be-illegal-c11f9618d1f9,"Welcome to General Intelligence, OneZero’s weekly dive into the A.I. news and research that matters. A.I.-generated music is finally good.",,,,
AI researchers seeking COVID-19 answers face hurdles,https://www.rollcall.com/2020/04/28/ai-researchers-seeking-covid-19-answers-face-hurdles/,"PubMed Central, a free digital repository of scientific literature on biomedical and life sciences, at the National Library of Medicine, is leading the effort to gather all the scientific literature from around the world for the CORD-19 project.",,,,
AI and the Far Right: A History We Can’t Ignore,https://medium.com/@AINowInstitute/ai-and-the-far-right-a-history-we-cant-ignore-f81375c3cc57,The heads of two prominent artificial intelligence firms came under public scrutiny this month for ties to far right organizations.,,,,
OpenAI begins publicly tracking AI model efficiency,https://venturebeat.com/2020/05/05/openai-begins-publicly-tracking-ai-model-efficiency/,"OpenAI today announced it will begin tracking machine learning models that achieve state-of-the-art efficiency, an effort it believes will help identify candidates for scaling and achieving top overall performance.",,,,
An AI can simulate an economy millions of times to create fairer tax policy,https://www.technologyreview.com/2020/05/05/1001142/ai-reinforcement-learning-simulate-economy-fairer-tax-policy-income-inequality-recession-pandemic/,"In one early result, the AI found a policy that—in terms of maximizing both productivity and income equality—was 16% fairer than a state-of-the-art progressive tax framework studied by academic economists. The improvement over current US policy was even greater.",,,,
Covariant raises $40 million to bring robots to low-tech industries,https://venturebeat.com/2020/05/06/covariant-raises-40-million-to-bring-robots-to-low-tech-industries/,"Covariant today announced the close of a $40 million series B funding round to bring its robotic control systems to additional industries and create more systems capable of picking, placing, and unloading objects in warehouses.",,,,
Invisible AI uses computer vision to help (but hopefully not nag) assembly line workers,https://techcrunch.com/2020/05/06/invisible-ai-uses-computer-vision-to-help-but-hopefully-not-nag-assembly-line-workers/,"“Assembly” may sound like one of the simpler tests in the manufacturing process, but as anyone who’s ever put together a piece of flat-pack furniture knows, it can be surprisingly (and frustratingly) complex.",,,,
An AI algorithm inspired by how kids learn is harder to confuse,https://www.technologyreview.com/2020/05/06/1001271/an-ai-algorithm-inspired-by-how-kids-learn-is-harder-to-confuse/,Information firehose: The standard practice for teaching a machine-learning algorithm is to give it all the details at once. Say you’re building an image classification system to recognize different species of animals.,,,,
France is using AI to check whether people are wearing masks on public transport,https://www.theverge.com/2020/5/7/21250357/france-masks-public-transport-mandatory-ai-surveillance-camera-software,France is integrating new AI tools into security cameras in the Paris metro system to check whether passengers are wearing face masks.,,,,
13 ‘must-read’ papers from AI experts,https://blog.re-work.co/ai-papers-suggested-by-experts/,"After the 'top AI books' reading list was so well received, we reached out to some of our community to find out which papers they believe everyone should have read! All of the below papers are free to access and cover a range of topics from Hypergradients to modeling yield response for CNNs.",,,,
Generating Eminem Lyrics using Neural Networks,https://towardsdatascience.com/generating-eminem-lyrics-using-neural-networks-96e7f9c45e8a,It’s no secret that Deep Learning is much much more than just classifying Cats and Dogs or predicting if a Titanic passenger survived.,,,,
Pandemic Robots Deployed in Singapore Parks to Remind Humans of Their Own Mortality,https://gizmodo.com/pandemic-robots-deployed-in-singapore-parks-to-remind-h-1843335679,"The Boston Dynamics robot known as Spot has been deployed to a park in Singapore to remind people they should follow social distancing guidelines during the pandemic, according to a new report from Singapore’s top government technology agency.",,,,
DeepMind compares the way children and AI explore,https://venturebeat.com/2020/05/08/deepmind-compares-exploration-behaviors-of-children-and-ai/,"In a preprint paper, researchers at Alphabet’s DeepMind and the University of California, Berkeley propose a framework for comparing the ways children learn about the world to AI’s learning processes.",,,,
Clearview AI to stop selling controversial facial recognition app to private companies,https://www.theverge.com/2020/5/7/21251387/clearview-ai-law-enforcement-police-facial-recognition-illinois-privacy-law,"Controversial facial recognition provider Clearview AI says it will no longer sell its app to private companies and non-law enforcement entities, according to a legal filing first reported on Thursday by BuzzFeed News.",,,,
AI Software Gets Mixed Reviews for Tackling Coronavirus,https://www.wsj.com/articles/ai-software-gets-mixed-reviews-for-tackling-coronavirus-11588597013,"Hospitals hope technology can ease pressure on doctors facing the pandemic, but some have noticed errors",,,,
Written And Directed By: Artificial Intelligence,https://www.forbes.com/sites/schuylermoore/2020/05/08/written-and-directed-by-artificial-intelligence/,"As impossible as it seems, it won’t be long before artificial intelligence is writing and creating films. As a lead up to this eventuality, here is a list of just some of the creative endeavors that AI has already accomplished:",,,,
