Name,URL,Type,Related
TikTok Researchers Introduce SWE-Perf: The First Benchmark for Repository-Level Code Performance Optimization - MarkTechPost,https://www.marktechpost.com/2025/07/21/tiktok-researchers-introduce-swe-perf-the-first-benchmark-for-repository-level-code-performance-optimization/?amp=&amp_gsa=1&amp_js_v=a9&usqp=mq331AQGsAEggAID#amp_tf=From%20%251%24s&aoh=17532458044900&csi=0&referrer=https%3A%2F%2Fwww.google.com&ampshare=https%3A%2F%2Fwww.marktechpost.com%2F2025%2F07%2F21%2Ftiktok-researchers-introduce-swe-perf-the-first-benchmark-for-repository-level-code-performance-optimization%2F,,
Qwen Releases Qwen3-Coder-480B-A35B-Instruct: Its Most Powerful Open Agentic Code Model Yet - MarkTechPost,https://www.marktechpost.com/2025/07/22/qwen-releases-qwen3-coder-480b-a35b-instruct-its-most-powerful-open-agentic-code-model-yet/,,
[2507.14417] Inverse Scaling in Test-Time Compute,https://arxiv.org/abs/2507.14417,,
[2507.12549] The Serial Scaling Hypothesis,https://arxiv.org/abs/2507.12549,,
[2507.17746] Rubrics as Rewards: Reinforcement Learning Beyond Verifiable Domains,https://arxiv.org/abs/2507.17746,,
"Google's AI Overviews have 2B monthly users, AI Mode 100M in the US and India | TechCrunch",https://techcrunch.com/2025/07/23/googles-ai-overviews-have-2b-monthly-users-ai-mode-100m-in-the-us-and-india/,,
Figma’s AI app building tool is now available for everyone | The Verge,https://www.theverge.com/news/712995/figma-make-ai-general-availability-announcement,,
Google Gemini on Wear OS widely rolling out,https://9to5google.com/2025/07/23/gemini-wear-os-update-3/,,
OpenAI and Oracle add 4.5 gigawatts of Stargate data center capacity,https://www.cnbc.com/2025/07/22/openai-oracle-stargate-texas.html,,
Google Photos can now animate your photos into short videos | TechRadar,https://www.techradar.com/ai-platforms-assistants/gemini/google-photos-can-now-animate-your-photos-into-short-videos,,
GitHub Goes After Vibe Coding Fans with the Public Preview of GitHub Spark,https://www.marktechpost.com/2025/07/24/github-introduces-vibe-coding-with-spark-revolutionizing-intelligent-app-development-in-a-flash/,,
White House Releases AI Action Plan ,https://natlawreview.com/article/white-house-reveals-ai-action-plan,Top News,"https://www.quarles.com/newsroom/publications/white-house-releases-americas-ai-action-plan-and-accompanying-ai-executive-orders,Trump derides copyright and state rules in AI Action Plan launch - POLITICO"
AI Chatbots Are Making Body Dysmorphia Worse,https://www.hackster.io/news/github-goes-after-vibe-coding-fans-with-the-public-preview-of-github-spark-d54d80e3a6f4,,
[2507.16632] Step-Audio 2 Technical Report,https://arxiv.org/abs/2507.16632,,
[2507.17744] Yume: An Interactive World Generation Model,https://arxiv.org/abs/2507.17744,,
[2507.18074] AlphaGo Moment for Model Architecture Discovery,https://arxiv.org/abs/2507.18074,,
[2507.16003] Learning without training: The implicit dynamics of in-context learning,https://arxiv.org/abs/2507.16003,,
"Alpha School, AI-Driven Education Founded in Austin, Is Coming to More Cities - The New York Times",https://www.nytimes.com/2025/07/27/us/politics/ai-alpha-school-austin-texas.html,,
[2507.07935] Working with AI: Measuring the Occupational Implications of Generative AI,https://arxiv.org/abs/2507.07935,,
[2507.18071] Group Sequence Policy Optimization,https://arxiv.org/abs/2507.18071,,
Google is testing a vibe-coding app called Opal | TechCrunch,https://techcrunch.com/2025/07/25/google-is-testing-a-vibe-coding-app-called-opal/,,
Meta names Shengjia Zhao as chief scientist of AI superintelligence unit | TechCrunch,https://techcrunch.com/2025/07/25/meta-names-shengjia-zhao-as-chief-scientist-of-ai-superintelligence-unit/,,
Runway Launches New Aleph Model That Promises Next-Level AI Video Editing - CNET,https://www.cnet.com/tech/services-and-software/runway-launches-new-aleph-model-that-promises-next-level-ai-video-editing/,,
America’s AI watchdog is losing its bite | MIT Technology Review,https://www.technologyreview.com/2025/07/24/1120645/americas-ai-watchdog-is-losing-its-bite/?truid=%252A%257CLINKID%257C%252A&mc_cid=fc7d1e5393,,
[2507.16534] Frontier AI Risk Management Framework in Practice: A Risk Analysis Technical Report,https://arxiv.org/abs/2507.16534,,
SK Hynix Quickens AI Investments After Posting Record Profit - Bloomberg,https://www.bloomberg.com/news/articles/2025-07-23/sk-hynix-reports-record-profit-and-sales-on-booming-ai-demand?cmpid=tech-in-depth,,
Photoshop just made it shockingly easy to add objects into photos | The Verge,https://www.theverge.com/news/715073/adobe-photoshop-ai-harmonize-composite-editing-feature,,
Microsoft Edge transforms into an AI browser with new Copilot Mode | The Verge,https://www.theverge.com/news/714435/microsoft-edge-copilot-mode-ai-features,,
Anthropic unveils new rate limits to curb Claude Code power users | TechCrunch,https://techcrunch.com/2025/07/28/anthropic-unveils-new-rate-limits-to-curb-claude-code-power-users/,,
